                   mean         std        2.5q         25q         50q        75q      97.5q       mc err
v_subj.5067     1.69611    0.144558     1.42301     1.59978     1.69154     1.7905    1.99326   0.00594686
v_subj.5068     1.66498    0.151827     1.37445     1.55927     1.66361    1.76598    1.97104   0.00350884
v_subj.5069     1.04617    0.107005    0.840451     0.96965     1.04685     1.1152    1.26141   0.00263431
v_subj.5070    -0.84107    0.107602    -1.05292    -0.91159   -0.840897  -0.766488  -0.633541   0.00233943
v_subj.5071     1.03975    0.111152    0.818433    0.964665       1.039    1.11502    1.25561   0.00262143
v_subj.5072    0.734184     0.14685    0.456097    0.628499    0.732797   0.833942    1.01757   0.00307116
v_subj.5073     1.48484     0.12499     1.23537     1.39939     1.48458    1.57148    1.71751   0.00321022
v_subj.5074     1.07407    0.114458     0.85053     1.00003     1.07296     1.1532    1.29166   0.00258339
v_subj.5075     1.67209    0.128798     1.43336      1.5844     1.67147    1.75562    1.93903    0.0047753
v_subj.5076     1.75716    0.138085     1.48347     1.65996      1.7563    1.85198    2.02169   0.00375729
v_subj.5077     1.33899    0.120916     1.11206      1.2568     1.33409    1.42186    1.57506   0.00316455
v_subj.5078     1.49811     0.12081     1.26716     1.41293     1.49904    1.57911    1.74449   0.00304623
v_subj.5079     1.69181    0.135938     1.43428     1.59903      1.6901    1.78285    1.95263   0.00428402
v_subj.5080     1.52519    0.137788     1.26253     1.43234     1.51853     1.6184    1.80718   0.00476799
v_subj.5081     1.66663    0.132044     1.39818     1.57999     1.66611    1.75512    1.93142    0.0033685
v_subj.5082    0.321722   0.0958004    0.130941    0.260104     0.32283   0.384253   0.511031   0.00197452
v_subj.5083      1.2163    0.112008      1.0003     1.13947     1.21565    1.29296    1.43677   0.00308423
v_subj.5084     2.06061    0.158519     1.74744     1.95294     2.06332    2.16596       2.38   0.00687452
v_subj.5085    0.969508    0.115864    0.745863    0.887754     0.96943    1.04979    1.19702   0.00251826
v_subj.5086    0.695779    0.138416    0.418727    0.605712    0.697223   0.791472   0.965248   0.00308958
v_subj.5087     2.08898    0.164976     1.78167     1.97559     2.08439    2.20371    2.41321   0.00529055
v_subj.5088     1.78268     0.15406      1.4979     1.67678     1.77721    1.87931    2.10277   0.00586293
v_subj.5089     1.13539    0.113686    0.908989     1.05793     1.13456    1.21223    1.36025    0.0023939
t              0.287833   0.0145297    0.260665    0.278059    0.287597   0.297489    0.31819  0.000439262
t_std          0.139828   0.0141439    0.115123    0.129977    0.138624   0.148329   0.170945  0.000477897
t_subj.5000    0.139796   0.0119134    0.112261    0.132582    0.140874   0.148187   0.159868  0.000313228
t_subj.5001  0.00891256  0.00444702  0.00225485  0.00563374  0.00817937  0.0115513  0.0195707  0.000120845
t_subj.5002    0.255815   0.0194674    0.215757    0.243475    0.256791   0.269355   0.291291  0.000783415
t_subj.5003    0.387332   0.0194244    0.345701    0.375295    0.388062   0.400519   0.424289  0.000823705
t_subj.5004    0.253131   0.0170914    0.217075    0.242351    0.254506   0.265816   0.282131  0.000803069
t_subj.5005    0.325777   0.0243413    0.275406    0.310114    0.326586   0.341368   0.374137  0.000785605
t_subj.5006    0.297887   0.0168083    0.262245    0.287211    0.298815    0.30935    0.32878  0.000738444
t_subj.5007    0.306288       0.011    0.281345     0.29931    0.307433   0.313969   0.325749  0.000360805
t_subj.5008     0.26549   0.0201977    0.219514    0.253522    0.266739   0.279572   0.300514   0.00086988
t_subj.5009    0.230841   0.0165248      0.1937    0.221127    0.232764   0.242311   0.259032  0.000786947
t_subj.5010    0.262509   0.0176866    0.214843    0.253869    0.263752   0.273365   0.294925  0.000659209
t_subj.5011    0.322373   0.0151243     0.28993    0.313353    0.323478   0.333051   0.347571  0.000578612
t_subj.5012    0.387362   0.0150941    0.350676    0.380191    0.389669   0.397459   0.410925  0.000499507
t_subj.5013    0.154331   0.0255254    0.105586    0.135745     0.15361   0.172632   0.204518  0.000651278
t_subj.5014     0.29855   0.0167983    0.262159    0.288442    0.299552   0.309716   0.328952  0.000447484
t_subj.5015    0.286521   0.0184151    0.246331    0.274824    0.288378   0.298945   0.319576  0.000686238
t_subj.5016     0.26388   0.0242378    0.228794    0.248089    0.259348   0.273743   0.330118  0.000900153
t_subj.5017    0.459203   0.0175324    0.421649    0.448023    0.459908    0.47174   0.489838  0.000581756
t_subj.5018    0.278833   0.0217849    0.236917    0.264314    0.277762   0.292453   0.322236  0.000692573
t_subj.5019    0.202275   0.0351156    0.124998    0.181072    0.206089   0.227401   0.260885   0.00181223
t_subj.5020    0.261311   0.0225133    0.211121    0.246392    0.263625   0.277714   0.300323    0.0012655
t_subj.5021    0.272241   0.0293859      0.2177    0.249521    0.272235   0.297408   0.320854   0.00116665
t_subj.5022    0.334383   0.0432396    0.263633     0.30146    0.323745   0.377743   0.407781   0.00207938
t_subj.5023  0.00917565  0.00340738  0.00289051  0.00681372  0.00902183  0.0114204  0.0162311  8.55588e-05
t_subj.5024    0.293578   0.0103961    0.270539    0.287136    0.294383     0.3008   0.312439   0.00030595
t_subj.5025     0.25512    0.022839    0.215099    0.240377    0.253199   0.266535    0.31121  0.000705152
t_subj.5026    0.299034   0.0185144     0.25268    0.289695    0.302412   0.311771   0.327375  0.000862219
t_subj.5027    0.396784  0.00366639    0.388517    0.394566    0.397139   0.399411   0.402915  0.000119868
t_subj.5028    0.375713    0.020862    0.328693     0.36195    0.379603   0.391251   0.407313  0.000644633
t_subj.5029     0.53025   0.0236624    0.485387    0.514874     0.52905   0.543704   0.585169  0.000861783
t_subj.5030    0.318276   0.0294039    0.252155    0.297862    0.322998   0.339853   0.364198   0.00115988
