,mean,std,2.5q,25q,50q,75q,97.5q,mc err
v_subj(IncSwitch).5060,1.20910041294,0.233816864465,0.750029749455,1.05462586635,1.2045198091,1.36660209785,1.66780161808,0.00356204068262
v_subj(ConStay).5061,0.743623526637,0.175729790731,0.393084896984,0.62357239856,0.743544624689,0.86215932674,1.09331351886,0.00283834883767
v_subj(ConSwitch).5061,0.750619307877,0.152888159043,0.446049926462,0.647319375603,0.752158308631,0.856007316695,1.047210306,0.00225229812816
v_subj(IncStay).5061,0.947563471213,0.173757129603,0.603687109799,0.830041473789,0.949932091152,1.06287583586,1.29501950413,0.00243182870496
v_subj(IncSwitch).5061,0.350825377197,0.179945267832,0.00154958695587,0.228472040168,0.352462043636,0.471612478639,0.705305666523,0.00268665482591
v_subj(ConStay).5062,2.29030134826,0.278218088376,1.73990320885,2.10380203316,2.29345301783,2.48030297392,2.84436341917,0.00427836094222
v_subj(ConSwitch).5062,1.84030033866,0.233611436063,1.39170067979,1.68201736757,1.8375816328,1.99764896047,2.3062071472,0.00361469129847
v_subj(IncStay).5062,0.860707591814,0.220127967385,0.43321083469,0.7143644027,0.855497810486,1.00906452807,1.30040968877,0.00323120897385
v_subj(IncSwitch).5062,0.774791361183,0.203439052708,0.363784321496,0.637417675838,0.772055241726,0.915656173605,1.17728898917,0.00305589431985
v_subj(ConStay).5063,1.39610152777,0.227442242677,0.960372703312,1.23714177874,1.39369017537,1.55050681933,1.84604422228,0.00327472468937
v_subj(ConSwitch).5063,1.17785970643,0.180104104047,0.83491228739,1.05574589207,1.17317903495,1.29870391095,1.53992407663,0.00251496948658
v_subj(IncStay).5063,1.09312829551,0.189915887407,0.720846584351,0.964414262726,1.08899053996,1.21897452552,1.47301946759,0.00277009397976
v_subj(IncSwitch).5063,0.853705160243,0.200836863437,0.459849285386,0.717878040461,0.85776648187,0.989915625871,1.25007671539,0.00294216740695
v_subj(ConStay).5064,1.86697218567,0.205521615336,1.47483190543,1.72751502293,1.86724608495,2.00569532669,2.26862376974,0.00326490011975
v_subj(ConSwitch).5064,1.43077766999,0.206543490934,1.03512157903,1.29132459916,1.43200073421,1.57400222786,1.83465335709,0.00300047866461
v_subj(IncStay).5064,1.36748143253,0.201084261139,0.973302729729,1.22820835256,1.36819965015,1.50291339172,1.7550533287,0.00327112609037
v_subj(IncSwitch).5064,1.17080299932,0.180869964314,0.812405748391,1.04873842238,1.17239363537,1.2897130751,1.52713242599,0.00265213228163
v_subj(ConStay).5065,2.23714302127,0.246702515566,1.75013249458,2.07386552101,2.23973088759,2.39967539657,2.72151828047,0.00361985752544
v_subj(ConSwitch).5065,1.47302907282,0.194947815751,1.09387939739,1.34198508083,1.47394382578,1.60469081004,1.85488401334,0.00316523881782
v_subj(IncStay).5065,1.35998409505,0.205326424771,0.964752962619,1.22327704946,1.35990083106,1.49508616849,1.76473659125,0.00296232408607
v_subj(IncSwitch).5065,0.759108683094,0.198411458299,0.366028005392,0.627307851417,0.761931338323,0.889125013426,1.1428543025,0.00305184185615
v_subj(ConStay).5066,1.98147492181,0.230787105173,1.54209313942,1.82159980524,1.97631996324,2.13516330912,2.43974496297,0.00377560297044
v_subj(ConSwitch).5066,1.14600413846,0.172672772377,0.797834209515,1.03037460057,1.14729018109,1.26074323659,1.48139248438,0.00228340919133
v_subj(IncStay).5066,1.31600564001,0.210773451685,0.900813136008,1.17132498775,1.31437212084,1.46140795921,1.72581243695,0.00326581978737
v_subj(IncSwitch).5066,0.720192705615,0.191445275685,0.35691005807,0.589527498305,0.717102676243,0.848594816742,1.10157417375,0.00327589055597
v_subj(ConStay).5067,1.79620080665,0.203089353577,1.39609219869,1.66325576438,1.79339327566,1.93390729639,2.20103073812,0.00386881281142
v_subj(ConSwitch).5067,1.70481516815,0.188537224513,1.33795507851,1.57484714576,1.7063668925,1.82989692933,2.07391610276,0.003518831012
v_subj(IncStay).5067,2.13060150478,0.223848292534,1.70887823201,1.97714652199,2.12621858055,2.27683020251,2.59537577702,0.00448254530825
v_subj(IncSwitch).5067,1.1176718602,0.192533678559,0.73304326983,0.993807976657,1.11427182281,1.24278334636,1.50245978931,0.00351126754685
v_subj(ConStay).5068,2.62963350966,0.293385251334,2.03424074176,2.42954824095,2.63347191004,2.83070113379,3.17669937409,0.0051405155504
v_subj(ConSwitch).5068,1.86602891929,0.27841431171,1.34521788697,1.66894155892,1.85863614668,2.05175751982,2.4408096468,0.00448291772845
v_subj(IncStay).5068,1.20545003895,0.252917200449,0.708831750359,1.03923265467,1.20281894973,1.37181885869,1.7119550795,0.003220123474
v_subj(IncSwitch).5068,1.27121328612,0.226165507571,0.839997004459,1.1181486294,1.26774559822,1.4213961216,1.71364082288,0.00342328125626
v_subj(ConStay).5069,2.11444742591,0.244949018367,1.63330573953,1.94874074557,2.11460377328,2.27969164561,2.59910533098,0.00378917062997
v_subj(ConSwitch).5069,0.803154549088,0.165456954838,0.47632257933,0.693498383858,0.798668939644,0.914659325709,1.12701076542,0.00235003378422
v_subj(IncStay).5069,1.41756857837,0.244932695245,0.958492669181,1.25038085649,1.40563759819,1.57524568384,1.92436141791,0.00428742303322
v_subj(IncSwitch).5069,0.708273317976,0.177269053389,0.364156978695,0.588452170957,0.708253298325,0.828279151494,1.05224983074,0.00239400109282
v_subj(ConStay).5070,-0.615265597623,0.206897126563,-1.02170307288,-0.757124737172,-0.613195197512,-0.473591914823,-0.22234020776,0.00285532756394
v_subj(ConSwitch).5070,-0.66151448517,0.195248602242,-1.05289554704,-0.791093417535,-0.660822337317,-0.528992684031,-0.27625651374,0.00300415531303
v_subj(IncStay).5070,-0.785880304855,0.203788157131,-1.19683390219,-0.92519386357,-0.780948942041,-0.648255285515,-0.384565608579,0.00296734884159
v_subj(IncSwitch).5070,-0.661584841522,0.20001769621,-1.04449077612,-0.797691750991,-0.659770905034,-0.527637741579,-0.268729413456,0.00285487111005
v_subj(ConStay).5071,1.79626131327,0.237664875752,1.33410943235,1.6351475107,1.79212984469,1.95158964857,2.26016959647,0.00364343317723
v_subj(ConSwitch).5071,0.932211566823,0.184129045462,0.571807076472,0.808823087788,0.9305306475,1.05813676728,1.29051648575,0.00275315276356
v_subj(IncStay).5071,1.15744075287,0.229422785756,0.724307981267,0.995707026591,1.15682399842,1.31088781963,1.62045429879,0.00331536728383
v_subj(IncSwitch).5071,0.659155592749,0.191967420625,0.293892023409,0.529645255841,0.656253729552,0.790437640947,1.02833654087,0.00253062816762
v_subj(ConStay).5072,1.52895703998,0.30527893506,0.930768244416,1.32061489552,1.52328037856,1.7322091911,2.1450866401,0.00470530669345
v_subj(ConSwitch).5072,0.956364746851,0.272536004829,0.429791582736,0.772219355324,0.953277461784,1.13735870987,1.48942937395,0.00416976700808
v_subj(IncStay).5072,0.564492662823,0.281652865376,0.0102599502555,0.375881090465,0.56622844521,0.752697130309,1.11947229916,0.00415327024159
v_subj(IncSwitch).5072,0.456419123106,0.230369051055,0.00640396274538,0.299486098345,0.459885956424,0.611358296777,0.907501579413,0.00324039848971
v_subj(ConStay).5073,1.91190467343,0.217621730663,1.49161081444,1.7613965992,1.90732792647,2.05872519959,2.34464947085,0.00391251526614
v_subj(ConSwitch).5073,1.76342016075,0.229837862613,1.30855397138,1.61045827849,1.76323779433,1.91987503164,2.21709902806,0.00371585291705
v_subj(IncStay).5073,1.42110714679,0.217183283914,1.00062298992,1.27445081016,1.41679627112,1.56489401509,1.85165250398,0.00373131423452
v_subj(IncSwitch).5073,0.935828774031,0.201032318772,0.552866793218,0.79880641054,0.934075248779,1.06949431119,1.34521983615,0.0029314092693
v_subj(ConStay).5074,1.74036717992,0.224488558104,1.30646889343,1.58703924529,1.74032260192,1.89259444749,2.18056278531,0.00362034397764
v_subj(ConSwitch).5074,1.55649032787,0.210294045428,1.1461720945,1.41812566659,1.5531160892,1.69658036945,1.97350295743,0.00348831527491
v_subj(IncStay).5074,0.574038424168,0.224747983085,0.129178372799,0.425542500325,0.57154306329,0.72830520133,1.01727324659,0.0028470749202
v_subj(IncSwitch).5074,0.635756804197,0.192344078522,0.249336769844,0.505578173282,0.636594023296,0.765893675456,1.01723679273,0.00263056030514
v_subj(ConStay).5075,1.9903358735,0.243300992226,1.52798123685,1.82432993281,1.98225389342,2.14996124656,2.48061749452,0.00493809087768
v_subj(ConSwitch).5075,1.56873999681,0.196792044955,1.18862742239,1.43981630517,1.56614241026,1.69789674642,1.96059798716,0.00349572213957
v_subj(IncStay).5075,1.85752497498,0.201770827398,1.46241765135,1.72156035242,1.85954020674,1.99509386396,2.2495709508,0.00363230846296
v_subj(IncSwitch).5075,1.29626446096,0.191044504824,0.920641170607,1.17062063853,1.2963860495,1.42402248292,1.67679117515,0.00345884418121
v_subj(ConStay).5076,2.41610837262,0.247365159337,1.93861789352,2.24720542238,2.41296766609,2.58198076992,2.91524159386,0.00412937040321
v_subj(ConSwitch).5076,1.7370311397,0.212648414046,1.32436194511,1.5918419049,1.73355506898,1.8801553015,2.1515052049,0.00360950760691
v_subj(IncStay).5076,1.62593763533,0.210313883707,1.21424858352,1.48421414256,1.62328489374,1.76635070376,2.04042151076,0.00331273729896
v_subj(IncSwitch).5076,1.34958630435,0.203039021987,0.950323889269,1.21447165153,1.34853910364,1.48665294492,1.75053280116,0.003473358265
v_subj(ConStay).5077,2.3767844618,0.255562020074,1.88260395991,2.20389628409,2.37281597915,2.55322645718,2.87113574279,0.00398614875938
v_subj(ConSwitch).5077,1.53373694782,0.210043358433,1.13275554857,1.3896287942,1.53205948575,1.67706730525,1.95102967701,0.00319609992248
v_subj(IncStay).5077,1.35272937588,0.234539479361,0.900512662021,1.19801927925,1.34619517453,1.5050952114,1.81069706095,0.00326078774374
v_subj(IncSwitch).5077,0.712109532465,0.176986092915,0.361027517486,0.59449835368,0.713881774946,0.827539953821,1.05906781042,0.00248557515309
v_subj(ConStay).5078,2.25693652341,0.24636313177,1.78419834381,2.08648762984,2.25250124128,2.42289748404,2.75419140225,0.00389748865327
v_subj(ConSwitch).5078,1.44524168183,0.198491319593,1.06709785531,1.30761377538,1.4455249823,1.58122130531,1.82890318614,0.00325375699045
v_subj(IncStay).5078,1.81917614243,0.238581454757,1.36600809784,1.65545396144,1.81346135824,1.97702089884,2.29951020127,0.00388491061791
